registered_name,elapsed,zwid,name,team,subteam
Carlos Marin,30.443,2533741,Carlos Marin (Vegan Bobcats),"('Team Vegan Barracudas',)",
Nikolaj Therkelsen,31.711,150173,Nikolaj Therkelsen,"('Team Vegan Bobcats',)",
Nikolaj Therkelsen,32.932,150173,Nikolaj Therkelsen,"('Team Vegan Bobcats',)",
Tobias Schmitt,32.941,1424719,Tobias Schmitt (ZRG),"('Canyon Coalition',)",
Alan Hugill,33.217,285500,Alan Hugill  (R3R THUNDER),"('Race3R',)",
Derek Mcintire,33.541,955953,Derek McIntire &#9419; (Vegan Arrows),"('Team Vegan Barracudas',)",
Neil Hodgson,34.712,7520,Neil Hodgson (OTR) ,"('On the Rivet',)",
Daniel unt,35.345,182368,Daniel Hunt (LEQP Hunters),"('LEQP',)",
Jeroen Speelmans,35.895,1401963,Jeroen Speelmans (LEQP Hunters),"('LEQP',)",
Ryan Ness,36.869,2858658,Ryan Ness (TFC),"('TFC',)",
Ryan Ness,37.567,2858658,Ryan Ness (TFC),"('TFC',)",
